WARNING *** file size (719348) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13
"City of Chicago, Illinois",,,,,,,,,District Canvass,,,
RunOff & Suppl Aldermanic,,,,,,,,,"April 2, 2019",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"1     Mayor
2     Treasurer",,,,,,,,,,
,,,,,,,1,1,,,2,2
ward_precinct,,Registered,Ballots Cast,Turnout (%),,,LORI LIGHTFOOT,TONI PRECKWINKLE,,,MELISSA CONYEARS-ERVIN,AMEYA PAWAR
Ward 07 Precinct 45,Total,872,177,20.30,,,135,42,,,155,15
Ward 07 Precinct 46,Total,266,124,46.62,,,88,36,,,101,15
,,,,,,,,,,,,
Ward 07,Total,18549,6086,32.81,,,4089,1977,,,5103,816
,,,,,,,,,,,,
,,,,,,,,,,,,
Ward 08 Precinct 01,Total,736,253,34.38,,,168,84,,,195,48
Ward 08 Precinct 03,Total,673,341,50.67,,,222,119,,,303,31
Ward 08 Precinct 06,Total,725,255,35.17,,,154,101,,,225,21
Ward 08 Precinct 07,Total,734,331,45.10,,,219,111,,,282,45
Ward 08 Precinct 08,Total,624,298,47.76,,,210,85,,,257,34
Ward 08 Precinct 09,Total,467,184,39.40,,,128,55,,,166,14
Ward 08 Precinct 12,Total,639,227,35.52,,,152,75,,,200,15
Ward 08 Precinct 13,Total,878,300,34.17,,,193,106,,,246,41
Ward 08 Precinct 14,Total,690,165,23.91,,,112,52,,,129,34
Ward 08 Precinct 15,Total,738,226,30.62,,,161,65,,,196,24
Ward 08 Precinct 16,Total,292,73,25.00,,,51,22,,,66,7
Ward 08 Precinct 19,Total,708,304,42.94,,,189,114,,,268,33
Ward 08 Precinct 20,Total,736,329,44.70,,,202,125,,,287,35
Ward 08 Precinct 21,Total,952,316,33.19,,,204,112,,,282,30
Ward 08 Precinct 24,Total,364,170,46.70,,,117,53,,,129,33
Ward 08 Precinct 25,Total,731,245,33.52,,,171,72,,,213,26
Ward 08 Precinct 28,Total,745,266,35.70,,,162,104,,,230,33
Ward 08 Precinct 29,Total,819,296,36.14,,,222,73,,,253,32
Ward 08 Precinct 30,Total,732,280,38.25,,,185,93,,,245,27
Ward 08 Precinct 32,Total,567,205,36.16,,,143,62,,,177,20
Ward 08 Precinct 33,Total,739,254,34.37,,,186,66,,,215,31
Ward 08 Precinct 35,Total,729,294,40.33,,,200,92,,,245,42
Ward 08 Precinct 36,Total,731,299,40.90,,,180,119,,,250,41
Ward 08 Precinct 37,Total,498,236,47.39,,,142,93,,,203,29
Ward 08 Precinct 39,Total,658,281,42.71,,,196,84,,,241,36
Ward 08 Precinct 40,Total,580,208,35.86,,,140,67,,,162,38
Ward 08 Precinct 41,Total,780,287,36.79,,,191,96,,,232,43
Ward 08 Precinct 42,Total,894,330,36.91,,,200,130,,,271,44
Ward 08 Precinct 43,Total,437,147,33.64,,,113,34,,,126,15
Ward 08 Precinct 45,Total,841,210,24.97,,,132,73,,,171,35
Ward 08 Precinct 46,Total,565,184,32.57,,,112,71,,,163,16
Ward 08 Precinct 47,Total,608,195,32.07,,,142,51,,,166,22
Ward 08 Precinct 49,Total,674,263,39.02,,,182,80,,,225,32
Ward 08 Precinct 50,Total,706,283,40.08,,,189,93,,,246,27
Ward 08 Precinct 51,Total,664,316,47.59,,,215,101,,,275,31
Ward 08 Precinct 52,Total,805,350,43.48,,,226,123,,,307,30
Ward 08 Precinct 53,Total,408,138,33.82,,,96,42,,,115,19
Ward 08 Precinct 55,Total,535,248,46.36,,,172,73,,,207,32
Ward 08 Precinct 56,Total,687,280,40.76,,,182,97,,,236,30
,,,,,,,,,,,,
Ward 08,Total,26089,9867,37.82,,,6561,3268,,,8405,1176
,,,,,,,,,,,,
,,,,,,,,,,,,
Ward 09 Precinct 01,Total,736,239,32.47,,,176,63,,,203,28
Ward 09 Precinct 02,Total,637,200,31.40,,,147,52,,,169,21
Ward 09 Precinct 04,Total,564,190,33.69,,,147,43,,,166,19
Ward 09 Precinct 06,Total,678,230,33.92,,,157,73,,,198,23
Ward 09 Precinct 07,Total,683,183,26.79,,,123,59,,,151,19
Ward 09 Precinct 08,Total,875,207,23.66,,,152,55,,,162,34
Ward 09 Precinct 09,Total,717,287,40.03,,,180,107,,,249,34
Ward 09 Precinct 10,Total,649,172,26.50,,,137,35,,,138,28
Ward 09 Precinct 11,Total,615,171,27.80,,,128,43,,,149,17
Ward 09 Precinct 12,Total,748,300,40.11,,,186,111,,,254,33
Ward 09 Precinct 14,Total,769,316,41.09,,,228,88,,,279,31
Ward 09 Precinct 15,Total,1315,179,13.61,,,130,47,,,138,28
Ward 09 Precinct 17,Total,643,167,25.97,,,128,38,,,133,21
Ward 09 Precinct 18,Total,594,181,30.47,,,132,49,,,161,14
Ward 09 Precinct 20,Total,705,249,35.32,,,189,59,,,215,27
Ward 09 Precinct 22,Total,683,266,38.95,,,163,102,,,225,33
Ward 09 Precinct 25,Total,649,261,40.22,,,184,75,,,223,30
Ward 09 Precinct 26,Total,1039,184,17.71,,,126,58,,,145,32
Ward 09 Precinct 27,Total,624,200,32.05,,,145,55,,,172,20
Ward 09 Precinct 30,Total,624,163,26.12,,,117,46,,,149,14
Ward 09 Precinct 32,Total,729,253,34.71,,,176,76,,,220,25
Ward 09 Precinct 33,Total,691,163,23.59,,,111,52,,,141,21
Ward 09 Precinct 34,Total,700,183,26.14,,,126,54,,,150,26
Ward 09 Precinct 35,Total,628,242,38.54,,,153,89,,,208,28
Ward 09 Precinct 36,Total,670,189,28.21,,,130,59,,,163,24
Ward 09 Precinct 37,Total,871,361,41.45,,,247,113,,,215,137
Ward 09 Precinct 38,Total,730,223,30.55,,,150,73,,,181,35
Ward 09 Precinct 40,Total,765,293,38.30,,,193,98,,,262,25
Ward 09 Precinct 41,Total,578,182,31.49,,,132,50,,,155,22
Ward 09 Precinct 43,Total,796,189,23.74,,,141,48,,,154,29
Ward 09 Precinct 45,Total,629,184,29.25,,,115,69,,,157,21
Ward 09 Precinct 46,Total,732,245,33.47,,,173,72,,,183,52
Ward 09 Precinct 48,Total,717,290,40.45,,,205,85,,,250,34
Ward 09 Precinct 49,Total,713,280,39.27,,,190,89,,,237,37
Ward 09 Precinct 51,Total,626,260,41.53,,,180,78,,,231,26
,,,,,,,,,,,,
Ward 09,Total,25122,7882,31.37,,,5497,2363,,,6586,1048
,,,,,,,,,,,,
,,,,,,,,,,,,
Ward 10 Precinct 01,Total,653,208,31.85,,,151,57,,,159,44
Ward 10 Precinct 02,Total,724,241,33.29,,,206,33,,,136,98
Ward 10 Precinct 03,Total,841,245,29.13,,,209,35,,,153,82
Ward 10 Precinct 04,Total,770,148,19.22,,,117,31,,,95,47
Ward 10 Precinct 05,Total,709,185,26.09,,,164,21,,,100,78
Ward 10 Precinct 06,Total,681,141,20.70,,,118,22,,,75,58
Ward 10 Precinct 07,Total,655,123,18.78,,,106,16,,,68,47
Ward 10 Precinct 08,Total,608,80,13.16,,,58,21,,,61,11
Ward 10 Precinct 10,Total,767,224,29.20,,,188,36,,,111,101
Ward 10 Precinct 11,Total,1007,192,19.07,,,156,36,,,96,83
Ward 10 Precinct 12,Total,574,119,20.73,,,96,23,,,62,53
Ward 10 Precinct 13,Total,878,171,19.48,,,138,33,,,118,49
Ward 10 Precinct 14,Total,948,230,24.26,,,188,38,,,116,101
Ward 10 Precinct 15,Total,1356,466,34.37,,,312,153,,,391,59
Ward 10 Precinct 16,Total,693,162,23.38,,,127,35,,,96,58
